48.864817945# 2.252676244,Sequoiadendron,giganteum,JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN,PARIS 16E ARRDT,634.0,32.0,,1872-01-01,164753
48.8767091018# 2.33192988137,Pterocarya,fraxinifolia,SQUARE DESTIENNE DORVES,PARIS 9E ARRDT,345.0,20.0,,,167101
48.8311975549# 2.41168725636,Cryptomeria,japonica,ILE DE BERCY / LAC DAUMESNIL,PARIS 12E ARRDT,122.0,18.0,,1893-01-01,172214
48.8650683246# 2.40092640649,Aesculus,hippocastanum,SQUARE EDOUARD VAILLANT,PARIS 20E ARRDT,380.0,26.0,,,178917
48.8319997987# 2.32583007025,Cedrus,libani,SQUARE DE L ASPIRAND DUNAND / 20 RUE SAILLARD,PARIS 14E ARRDT,131.0,17.0,,1996-01-01,203574
48.8719061601# 2.28158271438,Aesculus,hippocastanum,JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH,PARIS 16E ARRDT,520.0,25.0,,,204462
48.8685718097# 2.31332439059,Calocedrus,decurrens,JARDINS DES CHAMPS ELYSEES,PARIS 8E ARRDT,200.0,20.0,,,212910
48.822976818# 2.33745176307,Ginkgo,biloba,PARC MONTSOURIS,PARIS 14E ARRDT,331.0,23.0,,,216196
48.8577724998# 2.29724575606,Eucommia,ulmoides,JARDIN DU CHAMP DE MARS,PARIS 7E ARRDT,189.0,15.0,,,42276
48.8608096279# 2.39184377559,Cedrus,libani,CIMETIERE DU PERE LACHAISE / DIV 4,PARIS 20E ARRDT,372.0,25.0,,,42995
48.8716811488# 2.24923265275,Araucaria,araucana,PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY,PARIS 16E ARRDT,182.0,11.0,,1907-01-01,65150
48.8629082876# 2.26157034611,Ginkgo,biloba,BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR,PARIS 16E ARRDT,210.0,17.0,,1893-01-01,73727
48.8613685289# 2.25898794355,Fagus,sylvatica,PETITE ILE DU LAC INFERIEUR,PARIS 16E ARRDT,200.0,10.0,Pendula,1857-01-01,75910
48.8800797215# 2.38570950523,Aesculus,hippocastanum,PARC DES BUTTES CHAUMONT,PARIS 19E ARRDT,330.0,22.0,,,78311
48.8231515596# 2.33867704364,Ginkgo,biloba,PARC MONTSOURIS,PARIS 14E ARRDT,414.0,30.0,,,84958
